Country or Area,Internet User,Pop,Rank,Percentage,Rank,Internet Users,Population
China,"765,367,947","1,409,517,397",1,54.30%,116,765367947,1409517397
India,"461,347,554","1,339,180,127",2,34.45%,145,461347554,1339180127
United States,"244,090,854","324,459,463",3,75.23%,68,244090854,324459463
Brazil,"141,206,801","209,288,278",4,67.47%,83,141206801,209288278
Japan,"115,845,120","127,484,450",5,90.87%,23,115845120,127484450
Russia,"109,446,612","143,989,754",6,76.01%,64,109446612,143989754
Indonesia,"85,242,816","263,991,379",7,32.29%,150,85242816,263991379
Mexico,"82,470,752","129,163,276",8,63.85%,92,82470752,129163276
Germany,"69,304,405","82,114,224",9,84.40%,36,69304405,82114224
Philippines,"63,003,313","104,918,090",10,60.05%,103,63003313,104918090
United Kingdom,"62,621,016","66,181,585",11,94.62%,18,62621016,66181585
Pakistan,"61,837,331","220,800,300",25,30.68%,184,61837331,220800300
France,"52,308,536","64,979,548",13,80.50%,50,52308536,64979548
Turkey,"52,225,879","80,745,020",14,64.68%,89,52225879,80745020
Iran,"49,038,556","81,162,788",15,60.42%,101,49038556,81162788
South Korea,"48,484,084","50,982,212",16,95.10%,15,48484084,50982212
Vietnam,"47,359,575","95,540,800",17,49.57%,122,47359575,95540800
Egypt,"43,850,141","97,553,151",18,44.95%,132,43850141,97553151
Spain,"39,215,756","46,354,321",19,84.60%,33,39215756,46354321
Thailand,"36,513,941","69,037,513",20,52.89%,117,36513941,69037513
Italy,"36,387,619","59,359,900",21,61.30%,98,36387619,59359900
Canada,"33,950,632","36,624,199",22,92.70%,22,33950632,36624199
Argentina,"33,561,876","44,271,041",23,75.81%,67,33561876,44271041
South Africa,"31,858,027","56,717,156",24,56.17%,111,31858027,56717156
Nigeria,"30,557,175","190,015,955",12,27.51%,161,30557175,190015955
Colombia,"30,548,252","49,065,615",26,62.26%,96,30548252,49065615
Bangladesh,"30,530,435","164,669,751",27,18.02%,180,30530435,164669751
Poland,"29,005,924","38,170,712",28,75.99%,66,29005924,38170712
Saudi Arabia,"27,048,861","32,938,213",29,82.12%,39,27048861,32938213
Malaysia,"25,343,685","31,624,264",30,80.14%,52,25343685,31624264
Ukraine,"25,260,147","44,222,947",31,57.12%,109,25260147,44222947
Morocco,"22,072,765","35,739,580",32,61.76%,97,22072765,35739580
Taiwan,"21,920,626","23,626,456",33,92.78%,21,21920626,23626456
Australia,"21,159,515","24,450,561",34,86.54%,31,21159515,24450561
Venezuela,"20,564,451","31,977,065",35,64.31%,91,20564451,31977065
Algeria,"19,704,622","41,318,142",36,47.69%,130,19704622,41318142
Ethiopia,"19,543,075","104,957,438",37,18.62%,179,19543075,104957438
Iraq,"18,892,351","38,274,618",38,49.36%,123,18892351,38274618
Uzbekistan,"16,692,456","31,910,641",39,52.31%,118,16692456,31910641
Myanmar,"16,374,103","53,370,609",40,30.68%,154,16374103,53370609
Netherlands,"15,877,494","17,035,938",41,93.20%,20,15877494,17035938
Peru,"15,674,241","32,165,485",42,48.73%,128,15674241,32165485
Chile,"14,864,456","18,054,726",43,82.33%,38,14864456,18054726
Kazakhstan,"13,913,699","18,204,499",44,76.43%,61,13913699,18204499
Romania,"12,545,558","19,679,306",45,63.75%,93,12545558,19679306
Sudan,"12,512,639","40,533,330",46,30.87%,153,12512639,40533330
Ghana,"10,922,179","28,833,629",47,37.88%,140,10922179,28833629
Ivory Coast,"10,650,818","24,294,750",48,43.84%,133,10650818,24294750
Uganda,"10,162,807","42,862,958",49,23.71%,168,10162807,42862958
Belgium,"10,021,242","11,429,336",50,87.68%,28,10021242,11429336
Sweden,"9,554,907","9,910,701",51,96.41%,12,9554907,9910701
Ecuador,"9,521,056","16,624,858",52,57.27%,107,9521056,16624858
Tanzania,"9,169,603","57,310,019",53,16.00%,182,9169603,57310019
United Arab Emirates,"8,913,217","9,400,145",54,94.82%,17,8913217,9400145
Kenya,"8,861,485","49,699,862",55,17.83%,181,8861485,49699862
Czech Republic,"8,358,728","10,618,303",56,78.72%,56,8358728,10618303
Switzerland,"7,942,864","8,476,005",57,93.71%,19,7942864,8476005
Greece,"7,799,565","11,159,773",58,69.89%,77,7799565,11159773
Azerbaijan,"7,763,795","9,827,589",59,79.00%,54,7763795,9827589
Austria,"7,681,957","8,735,453",60,87.94%,27,7681957,8735453
Portugal,"7,622,142","10,329,506",61,73.79%,70,7622142,10329506
Yemen,"7,548,512","28,250,420",62,26.72%,164,7548512,28250420
Hungary,"7,461,297","9,721,559",63,76.75%,60,7461297,9721559
Sri Lanka,"7,121,116","20,876,917",64,34.11%,147,7121116,20876917
Belarus,"7,048,231","9,468,338",65,74.44%,69,7048231,9468338
Democratic Republic of the Congo,"7,011,507","81,339,988",66,8.62%,200,7011507,81339988
Dominican Republic,"6,997,472","10,766,998",67,64.99%,88,6997472,10766998
Guatemala,"6,883,796","16,913,503",68,40.70%,137,6883796,16913503
Israel,"6,788,737","8,321,570",69,81.58%,43,6788737,8321570
Hong Kong,"6,585,678","7,364,883",70,89.42%,25,6585678,7364883
Jordan,"6,480,202","9,702,353",71,66.79%,85,6480202,9702353
Tunisia,"6,400,330","11,532,127",72,55.50%,114,6400330,11532127
Nepal,"6,271,270","29,304,998",73,21.40%,174,6271270,29304998
Syria,"6,257,430","18,269,868",74,34.25%,146,6257430,18269868
Serbia,"6,182,411","8,790,574",75,70.33%,76,6182411,8790574
Mozambique,"6,162,217","29,668,834",76,20.77%,177,6162217,29668834
Cuba,"5,638,956","11,484,636",77,49.10%,125,5638956,11484636
Cameroon,"5,580,465","24,053,727",78,23.20%,170,5580465,24053727
Denmark,"5,567,278","5,733,551",79,97.10%,9,5567278,5733551
Cambodia,"5,441,827","16,005,373",80,34.00%,148,5441827,16005373
Norway,"5,120,225","5,305,383",81,96.51%,11,5120225,5305383
Bolivia,"4,843,916","11,051,600",82,43.83%,134,4843916,11051600
Finland,"4,831,170","5,523,231",83,87.47%,29,4831170,5523231
Singapore,"4,821,119","5,708,844",84,84.45%,35,4821119,5708844
Zambia,"4,760,715","17,094,130",85,27.85%,160,4760715,17094130
Lebanon,"4,755,187","6,082,357",86,78.18%,57,4755187,6082357
Senegal,"4,698,108","15,850,567",87,29.64%,158,4698108,15850567
Bulgaria,"4,492,326","7,084,571",88,63.41%,94,4492326,7084571
Zimbabwe,"4,472,992","16,529,904",89,27.06%,163,4472992,16529904
Slovakia,"4,446,926","5,447,662",90,81.63%,42,4446926,5447662
New Zealand,"4,273,353","4,705,818",91,90.81%,24,4273353,4705818
Angola,"4,271,053","29,784,193",92,14.34%,186,4271053,29784193
Paraguay,"4,160,340","6,811,297",93,61.08%,99,4160340,6811297
Afghanistan,"4,068,194","35,530,081",94,11.45%,194,4068194,35530081
Kuwait,"4,053,797","4,136,528",95,98.00%,5,4053797,4136528
Ireland,"4,024,552","4,761,657",96,84.52%,34,4024552,4761657
Oman,"3,717,818","4,636,262",97,80.19%,51,3717818,4636262
Costa Rica,"3,511,549","4,905,769",98,71.58%,74,3511549,4905769
Palestinian Authority,"3,208,312","4,920,724",99,65.20%,87,3208312,4920724
Moldova,"3,083,783","4,051,212",100,76.12%,63,3083783,4051212
Burkina Faso,"3,047,909","19,193,382",101,15.88%,183,3047909,19193382
Honduras,"2,977,793","9,265,067",102,32.14%,151,2977793,9265067
Croatia,"2,811,056","4,189,353",103,67.10%,84,2811056,4189353
Puerto Rico,"2,664,928","3,663,131",104,72.75%,71,2664928,3663131
Rwanda,"2,657,770","12,208,407",105,21.77%,172,2657770,12208407
Malawi,"2,566,126","18,622,104",106,13.78%,188,2566126,18622104
Qatar,"2,532,059","2,639,211",107,95.94%,13,2532059,2639211
Madagascar,"2,505,948","25,570,895",108,9.80%,198,2505948,25570895
Bosnia and Herzegovina,"2,437,026","3,507,017",109,69.49%,80,2437026,3507017
Panama,"2,371,852","4,098,587",110,57.87%,106,2371852,4098587
Georgia,"2,366,406","3,912,061",111,60.49%,100,2366406,3912061
Uruguay,"2,360,269","3,456,750",112,68.28%,82,2360269,3456750
Mali,"2,358,540","18,541,980",113,12.72%,190,2358540,18541980
Kyrgyzstan,"2,309,235","6,045,117",114,38.20%,139,2309235,6045117
Lithuania,"2,243,448","2,890,297",115,77.62%,58,2243448,2890297
Niger,"2,194,985","21,477,348",116,10.22%,197,2194985,21477348
Albania,"2,105,339","2,930,187",117,71.85%,73,2105339,2930187
Armenia,"2,043,110","2,930,450",118,69.72%,78,2043110,2930450
El Salvador,"1,993,079","6,377,853",119,31.25%,152,1993079,6377853
Tajikistan,"1,959,127","8,921,343",120,21.96%,171,1959127,8921343
Laos,"1,749,517","6,858,160",121,25.51%,167,1749517,6858160
Nicaragua,"1,732,218","6,217,581",122,27.86%,159,1732218,6217581
Slovenia,"1,640,893","2,079,976",123,78.89%,55,1640893,2079976
Macedonia,"1,589,659","2,083,160",124,76.31%,62,1589659,2083160
Latvia,"1,585,471","1,949,670",125,81.32%,45,1585471,1949670
Benin,"1,578,008","11,175,692",126,14.12%,187,1578008,11175692
Guinea,"1,449,758","12,717,176",127,11.40%,195,1449758,12717176
Bahrain,"1,431,090","1,492,584",128,95.88%,14,1431090,1492584
Jamaica,"1,409,888","2,890,299",129,48.78%,127,1409888,2890299
Libya,"1,387,116","6,374,616",130,21.76%,173,1387116,6374616
Haiti,"1,353,986","10,981,229",131,12.33%,192,1353986,10981229
Turkmenistan,"1,223,591","5,758,075",132,21.25%,175,1223591,5758075
Estonia,"1,153,786","1,309,632",133,88.10%,26,1153786,1309632
Trinidad and Tobago,"1,058,744","1,369,125",134,77.33%,59,1058744,1369125
Gabon,"1,019,049","2,025,137",135,50.32%,120,1019049,2025137
South Sudan,"1,003,542","12,575,714",136,7.98%,202,1003542,12575714
Sierra Leone,"1,000,575","7,557,212",137,13.24%,189,1000575,7557212
Chad,"968,500","14,899,994",138,6.50%,204,968500,14899994
Togo,"963,795","7,797,694",139,12.36%,191,963795,7797694
Cyprus,"952,369","1,179,551",140,80.74%,47,952369,1179551
Botswana,"948,977","2,291,661",141,41.41%,135,948977,2291661
Namibia,"933,450","2,533,794",142,36.84%,143,933450,2533794
Papua New Guinea,"924,955","8,251,162",143,11.21%,196,924955,8251162
Mauritania,"919,398","4,420,184",144,20.80%,176,919398,4420184
Mongolia,"729,236","3,075,647",145,23.71%,169,729236,3075647
Mauritius,"702,911","1,265,138",146,55.56%,113,702911,1265138
Lesotho,"665,312","2,233,339",147,29.79%,157,665312,2233339
Burundi,"607,311","10,864,245",148,5.59%,205,607311,10864245
Luxembourg,"570,794","583,455",149,97.83%,6,570794,583455
Djibouti,"532,849","956,985",150,55.68%,112,532849,956985
Macau,"517,789","622,567",151,83.17%,37,517789,622567
Republic of the Congo,"455,055","5,260,750",152,8.65%,199,455055,5260750
Fiji,"452,479","905,502",153,49.97%,121,452479,905502
Montenegro,"448,260","628,960",154,71.27%,75,448260,628960
The Gambia,"416,753","2,100,568",155,19.84%,178,416753,2100568
Swaziland,"414,278","1,367,254",156,30.30%,155,414278,1367254
Brunei,"406,705","428,697",157,94.87%,16,406705,428697
Bhutan,"388,541","807,610",158,48.11%,129,388541,807610
Liberia,"377,607","4,731,906",159,7.98%,203,377607,4731906
Timor Leste,"356,356","1,296,311",160,27.49%,162,356356,1296311
Malta,"344,970","430,835",161,80.07%,53,344970,430835
The Bahamas,"336,057","395,361",162,85.00%,32,336057,395361
Equatorial Guinea,"332,642","1,267,689",163,26.24%,165,332642,1267689
Iceland,"329,196","335,025",164,98.26%,3,329196,335025
Cabo Verde,"312,315","546,388",165,57.16%,108,312315,546388
Somalia,"294,851","14,742,523",166,2.00%,208,294851,14742523
Guyana,"290,375","777,859",167,37.33%,142,290375,777859
Suriname,"275,785","563,402",168,48.95%,126,275785,563402
Maldives,"275,717","436,330",169,63.19%,95,275717,436330
Barbados,"233,604","285,719",170,81.76%,41,233604,285719
New Caledonia,"226,557","276,255",171,82.01%,40,226557,276255
French Polynesia,"205,746","283,007",172,72.70%,72,205746,283007
Central African Republic,"202,204","4,659,080",173,4.34%,206,202204,4659080
Belize,"176,400","374,681",174,47.08%,131,176400,374681
Guam,"132,221","164,229",175,80.51%,49,132221,164229
Aruba,"102,285","105,264",176,97.17%,8,102285,105264
Saint Lucia,"90,889","178,844",177,50.82%,119,90889,178844
Antigua and Barbuda,"77,529","102,012",178,76.00%,65,77529,102012
Andorra,"76,095","76,965",179,98.87%,1,76095,76965
Guinea-Bissau,"73,148","1,861,283",180,3.93%,207,73148,1861283
Solomon Islands,"72,872","611,343",181,11.92%,193,72872,611343
Saint Vincent and the Grenadines,"72,048","109,897",182,65.56%,86,72048,109897
Vanuatu,"71,050","276,244",183,25.72%,166,71050,276244
Comoros,"69,020","813,912",184,8.48%,201,69020,813912
U.S. Virgin Islands,"67,535","104,901",185,64.38%,90,67535,104901
Eritrea,"66,402","5,068,831",186,1.31%,209,66402,5068831
Samoa,"66,023","196,440",187,33.61%,149,66023,196440
Grenada,"63,692","107,825",188,59.07%,104,63692,107825
S��o Tom�� and P,"61,155","204,327",189,29.93%,156,61155,204327
Bermuda,"60,349","61,349",190,98.37%,2,60349,61349
Seychelles,"55,677","94,737",191,58.77%,105,55677,94737
Dominica,"51,467","73,925",192,69.62%,79,51467,73925
Cayman Islands,"49,906","61,559",193,81.07%,46,49906,61559
Faroe Islands,"48,097","49,290",194,97.58%,7,48097,49290
Saint Kitts and Nevis,"44,669","55,345",195,80.71%,48,44669,55345
Tonga,"44,558","108,020",196,41.25%,136,44558,108020
Greenland,"39,242","56,480",197,69.48%,81,39242,56480
Jersey,"38,958","165,314",198,41.03% (2012),-,38958,165314
Monaco,"37,553","38,695",199,97.05%,10,37553,38695
Micronesia Federated States of,"37,257","105,544",200,35.30%,144,37257,105544
Liechtenstein,"37,201","37,922",201,98.10%,4,37201,37922
Gibraltar,"32,494","34,571",202,94.44% (2016),-,32494,34571
Marshall Islands,"20,560","53,127",203,38.70%,138,20560,53127
San Marino,"20,100","33,400",204,60.18%,102,20100,33400
Kiribati,"16,971","116,398",205,14.58%,185,16971,116398
British Virgin Islands,"14,456","31,196",206,37.60% (2012),141,14456,31196
Anguilla,"12,043","14,909",207,81.57% (2016),44,12043,14909
Nauru,"6,475","11,359",208,57.00%,110,6475,11359
Tuvalu,"5,520","11,192",209,49.32%,124,5520,11192
Saint Helena,"2,906","4,534",210,37.60% (2012),-,2906,4534
Falkland Islands,"2,881","2,910",211,99.02% (2016),-,2881,2910
Montserrat,"2,833","5,177",212,54.55% (2013),115,2833,5177
Wallis and Futuna,"1,383","11,773",213,8.95% (2012),-,1383,11773
Niue,"1,034","1,618",214,86.90% (2013),30,1034,1618
Ascension,361,806,215,41.03% (2012),-,361,806
